"2","Baja California","4","Tijuana","1011000057","Automóviles registrados en circulación","407412","421829","451032","Automóviles";
"2","Baja California","4","Tijuana","1011000058","Camiones de pasajeros registrados en circulación","2224","2526","2934","";
"2","Baja California","4","Tijuana","1011000059","Motocicletas registradas en circulación","7408","8417","10006","";
"2","Baja California","4","Tijuana","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","527948","544196","576897","";
"2","Baja California","4","Tijuana","3102002003","Camiones y camionetas para carga registrados en circulación","118312","119841","122931","";
"2","Baja California","5","Playas de Rosarito","1011000057","Automóviles registrados en circulación","26492","27607","29320","Automóviles";
"2","Baja California","5","Playas de Rosarito","1011000058","Camiones de pasajeros registrados en circulación","112","140","192","";
"2","Baja California","5","Playas de Rosarito","1011000059","Motocicletas registradas en circulación","345","473","602","";
"2","Baja California","5","Playas de Rosarito","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","37097","38237","40248","";
"2","Baja California","5","Playas de Rosarito","3102002003","Camiones y camionetas para carga registrados en circulación","10493","10490","10736","";
"3","Baja California Sur","0","Estatal","1011000057","Automóviles registrados en circulación","285320","287697","305197","Automóviles";
"3","Baja California Sur","0","Estatal","1011000058","Camiones de pasajeros registrados en circulación","4709","4869","5468","";
"3","Baja California Sur","0","Estatal","1011000059","Motocicletas registradas en circulación","6864","7593","8467","";
"3","Baja California Sur","0","Estatal","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","423894","428069","449433","";
"3","Baja California Sur","0","Estatal","3102002003","Camiones y camionetas para carga registrados en circulación","133865","135503","138768","";
"3","Baja California Sur","1","Comondú","1011000057","Automóviles registrados en circulación","41663","42023","43746","Automóviles";
"3","Baja California Sur","1","Comondú","1011000058","Camiones de pasajeros registrados en circulación","308","347","262","";
"3","Baja California Sur","1","Comondú","1011000059","Motocicletas registradas en circulación","68","97","114","";
"3","Baja California Sur","1","Comondú","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","76139","76916","79212","";
"3","Baja California Sur","1","Comondú","3102002003","Camiones y camionetas para carga registrados en circulación","34168","34546","35204","";
"3","Baja California Sur","2","Mulegé","1011000057","Automóviles registrados en circulación","17699","18547","19940","Automóviles";
"3","Baja California Sur","2","Mulegé","1011000058","Camiones de pasajeros registrados en circulación","153","188","152","";
"3","Baja California Sur","2","Mulegé","1011000059","Motocicletas registradas en circulación","90","95","103","";
"3","Baja California Sur","2","Mulegé","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","31554","32845","34907","";
"3","Baja California Sur","2","Mulegé","3102002003","Camiones y camionetas para carga registrados en circulación","13702","14110","14815","";
"3","Baja California Sur","3","La Paz","1011000057","Automóviles registrados en circulación","151708","146111","152807","Automóviles";
"3","Baja California Sur","3","La Paz","1011000058","Camiones de pasajeros registrados en circulación","1610","1771","1315","";
"3","Baja California Sur","3","La Paz","1011000059","Motocicletas registradas en circulación","3749","3938","4212","";
"3","Baja California Sur","3","La Paz","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","206569","198797","206796","";
